"subject" "activityName" "time_or_freq" "accleration" "instrument" "jerk_measure" "Magnitude_measure" "mean_or_std" "axis" "Average"
7 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.275592961754386
21 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279183526730769
18 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273887758571429
11 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271821892881356
20 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272589336470588
22 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27886459
26 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279264443728814
6 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.283658868070175
19 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273931172307692
14 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271959598644068
29 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271999916792453
27 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276849485438596
4 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278582015166667
3 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.275567462068965
30 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276406758
13 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.275883130350877
9 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278502842115385
12 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2771286656
1 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277330758736842
8 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27468631
23 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273211884237288
25 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278992759054054
5 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27784234625
28 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.281228223888889
10 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278574076603774
24 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276980816034483
15 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273899207962963
16 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276023564509804
2 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276426586440678
17 "WALKING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272341855245902
3 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.260819873067797
1 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.255461689622641
21 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.265194544680851
23 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.249995171031373
13 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.258203939581818
20 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.252098317156863
22 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.248391534566667
4 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.270876696730769
12 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272970338653846
9 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.262436475714286
7 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.248706923078431
11 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.263775859277778
2 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.247164790395833
6 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.268229355098039
25 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277995411384615
5 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.268459469914894
18 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.265401201896552
15 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.270187595833333
26 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272691394545455
8 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.258880152048781
27 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.265770253921569
14 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.26242106612963
16 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.255986102627451
28 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.262005841764706
24 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.269881106779661
17 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.252604768583333
29 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.265423066877551
10 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.267121853404255
19 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.242118808925
30 "WALKING_UPSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271415642261538
3 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.292423484693878
13 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.294907553404255
7 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.28030708
14 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.293422115555556
20 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.296144421355556
18 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.288439468909091
9 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.295923445
11 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.291605631956522
24 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.288631208909091
22 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.284458963861111
19 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.262688053871795
6 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277045258145833
15 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280198851190476
17 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.29391828326087
1 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.289188320408163
21 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.3014610196
23 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.289897411148148
25 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.291329666206897
4 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279965329555556
26 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2792845828
5 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.29354392712766
8 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.283484089210526
29 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.293140441083333
27 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2975441875
10 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.290401594315789
16 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.295586802191489
12 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.281521097391304
28 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.293642076521739
30 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.283190646967742
2 "WALKING_DOWNSTAIRS" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27761534806383
3 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.257197599134615
29 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2771799775
4 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27153827992
10 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.270612056481481
7 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.284674637291667
12 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.275007224901961
28 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276977629444444
6 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276778487454545
21 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277539616823529
25 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278541482461538
30 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.268336081379032
9 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.24832674354
11 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276590197358491
5 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273694139545455
27 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273941302571429
13 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.274328499591837
19 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273830316164384
20 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278045439090909
26 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.258243530166667
14 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279990577037037
24 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273475690147059
2 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27708735173913
22 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273583822709677
8 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.267491472934783
1 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.261237565425532
23 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.273351251617647
18 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27727001877193
16 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280768574492754
17 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2773570196875
15 "SITTING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27290337979661
2 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277911472222222
3 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280046513278689
20 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278076904657534
7 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.282723539433962
27 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279566921625
30 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277112699152542
4 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280499745892857
12 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277405834918033
5 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.282544390892857
19 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27817226
21 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.27695224258427
13 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277758431052632
10 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276650300681818
8 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279620986111111
11 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277715562765957
9 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.282310057333333
24 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280348883913043
22 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279053861587302
18 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278458805890411
28 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277795069113924
6 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280346248596491
17 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277942503333333
16 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.283497402948718
14 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280545613833333
23 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277899323235294
15 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278915803962264
29 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.277965065846154
26 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.281127035405405
25 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278013701621622
1 "STANDING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278917629056604
30 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.281033900571429
27 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.274102492432432
14 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.233275439803922
28 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2759134825
6 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.248656520140351
13 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.276716360483871
26 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271645864540789
29 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.287295196811594
20 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.239507882205882
12 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.260113433
11 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280592970877193
3 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.275516852741935
7 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.250176694038462
10 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.280230574137931
8 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.261254282907407
21 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.271325472455556
4 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.263559214981481
18 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.274691576923077
5 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.278334325576923
22 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.279959721194444
9 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2591955368
25 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.250791828613699
19 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272653733493976
23 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.274038007986111
24 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.272850494930556
16 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.274227162571429
